<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20150923;130000;136.1800000;136.1800000;135.2000000;135.2800000;2672340
GAZP;60;20150923;140000;135.3000000;135.5000000;134.3100000;134.5200000;7140320
GAZP;60;20150923;150000;134.5100000;134.7100000;133.3800000;133.8900000;6327340
GAZP;60;20150923;160000;133.8600000;135.3100000;133.7500000;134.7200000;6754230
GAZP;60;20150923;170000;134.7200000;134.9500000;134.3100000;134.4700000;4735210
GAZP;60;20150923;180000;134.4800000;135.0800000;134.1800000;134.6800000;6964180
GAZP;60;20150923;190000;134.7400000;134.9900000;134.0100000;134.3000000;2594820
GAZP;60;20150924;110000;134.5700000;134.7800000;133.2000000;134.2500000;7108860
GAZP;60;20150924;120000;134.2100000;134.3500000;133.2000000;133.8700000;2860220
GAZP;60;20150924;130000;133.8700000;133.9100000;132.9100000;133.0400000;3222170
GAZP;60;20150924;140000;133.0400000;133.5000000;132.2800000;132.5400000;3870100
GAZP;60;20150924;150000;132.5100000;132.5700000;131.8500000;132.0500000;3952630
GAZP;60;20150924;160000;132.0500000;133.6600000;132.0100000;133.6000000;4387440
GAZP;60;20150924;170000;133.6000000;133.7400000;132.1300000;132.6200000;3125710
GAZP;60;20150924;180000;132.6300000;132.7600000;131.7000000;131.7100000;5875200
GAZP;60;20150924;190000;131.7100000;132.3200000;131.5000000;132.2000000;3377030
GAZP;60;20150925;110000;132.6100000;134.4500000;132.6100000;133.9000000;7484710
GAZP;60;20150925;120000;133.9400000;134.3000000;132.8500000;133.4500000;5939600
GAZP;60;20150925;130000;133.4500000;134.5500000;133.0300000;134.0200000;6898220
GAZP;60;20150925;140000;134.0900000;134.1100000;133.2600000;133.6300000;2262110
GAZP;60;20150925;150000;133.6500000;134.3500000;133.4300000;134.1800000;2157290
GAZP;60;20150925;160000;134.2300000;134.2300000;133.0000000;133.1000000;2415000
GAZP;60;20150925;170000;133.1400000;133.7500000;132.5400000;133.5900000;3342250
GAZP;60;20150925;180000;133.5600000;133.7000000;132.5700000;133.3800000;3315100
GAZP;60;20150925;190000;133.3900000;133.8500000;133.0000000;133.8500000;1785280
GAZP;60;20150928;110000;134.1000000;134.1300000;132.8000000;133.0000000;4047020
GAZP;60;20150928;120000;132.9800000;133.3000000;132.6300000;132.9900000;1765940
GAZP;60;20150928;130000;133.0100000;133.1100000;132.3800000;132.6200000;2232540
GAZP;60;20150928;140000;132.6200000;134.2700000;132.1000000;132.6400000;5616960
GAZP;60;20150928;150000;132.7100000;133.3900000;130.5000000;130.8500000;8294500
GAZP;60;20150928;160000;130.9000000;131.6900000;130.3700000;131.6300000;2841530
GAZP;60;20150928;170000;131.6200000;131.6700000;131.2500000;131.3800000;2414900
GAZP;60;20150928;180000;131.3300000;131.5800000;130.7500000;131.4600000;1990420
GAZP;60;20150928;190000;131.4500000;131.5500000;130.9000000;130.9000000;1519480
GAZP;60;20150929;110000;130.6000000;131.7000000;130.3600000;131.3900000;3347550
GAZP;60;20150929;120000;131.3600000;133.3200000;131.1500000;132.7400000;6268350
GAZP;60;20150929;130000;132.7300000;133.7000000;132.5000000;133.4700000;3714730
GAZP;60;20150929;140000;133.4700000;134.0600000;133.1500000;133.5000000;3964570
GAZP;60;20150929;150000;133.5500000;133.8300000;132.9200000;133.1900000;3718580
GAZP;60;20150929;160000;133.2100000;133.6900000;133.1500000;133.6900000;2150500
GAZP;60;20150929;170000;133.6800000;133.9100000;133.0500000;133.5000000;2435410
GAZP;60;20150929;180000;133.5000000;133.9500000;133.3600000;133.3600000;3366950
GAZP;60;20150929;190000;133.4000000;133.5500000;133.1200000;133.2000000;1553380
GAZP;60;20150930;110000;133.8100000;135.2500000;133.7500000;135.2100000;7850840
GAZP;60;20150930;120000;135.2100000;135.7100000;135.2100000;135.5400000;5933760
GAZP;60;20150930;130000;135.5400000;135.7300000;135.2700000;135.5500000;4077440
GAZP;60;20150930;140000;135.5400000;135.5500000;134.9000000;135.0400000;2513560
GAZP;60;20150930;150000;135.0700000;135.2500000;134.8100000;134.8300000;2769930
GAZP;60;20150930;160000;134.9000000;135.3000000;134.7700000;135.1200000;2906890
GAZP;60;20150930;170000;135.1100000;135.2000000;133.8000000;134.3500000;6157710
GAZP;60;20150930;180000;134.3500000;134.5000000;133.6200000;133.7600000;4366500
GAZP;60;20150930;190000;133.7600000;134.5500000;132.8000000;134.5500000;6791850
GAZP;60;20151001;110000;134.6800000;135.1000000;134.3400000;134.7500000;2883400
GAZP;60;20151001;120000;134.7700000;134.8000000;133.9300000;134.4300000;2267730
GAZP;60;20151001;130000;134.4300000;134.6500000;134.1100000;134.5600000;1873420
GAZP;60;20151001;140000;134.6300000;134.8400000;134.2900000;134.8400000;1329260
GAZP;60;20151001;150000;134.8500000;135.6000000;133.5100000;133.5200000;5141550
GAZP;60;20151001;160000;133.5200000;133.5800000;131.5500000;132.0900000;8472510
GAZP;60;20151001;170000;132.0900000;132.5800000;131.7000000;131.7000000;3505140
GAZP;60;20151001;180000;131.7600000;132.2500000;131.5100000;132.1300000;5208400
GAZP;60;20151001;190000;132.1000000;132.9300000;131.9600000;132.9000000;3367000
GAZP;60;20151002;110000;132.7700000;133.1700000;132.1300000;132.5500000;2472230
GAZP;60;20151002;120000;132.5500000;132.8300000;132.0000000;132.0900000;2924190
GAZP;60;20151002;130000;132.1400000;132.4800000;132.0000000;132.0300000;2193910
GAZP;60;20151002;140000;132.0600000;132.8400000;131.7000000;132.3100000;3568920
GAZP;60;20151002;150000;132.3000000;132.3800000;131.8900000;131.9200000;2460370
GAZP;60;20151002;160000;131.9600000;132.2700000;131.2000000;131.7100000;2901080
GAZP;60;20151002;170000;131.6600000;131.9500000;131.4100000;131.4900000;1958660
GAZP;60;20151002;180000;131.4900000;131.7900000;131.0200000;131.5000000;6614430
GAZP;60;20151002;190000;131.4900000;131.8000000;131.3200000;131.5000000;1759340
